LGN-Klassen;LGN2018;LGN2021;Verschil
1 - Agrarisch gras;1044153;1043216;-937
2 - Maïs;234015;210430;-23585
3 - Aardappelen;172041;164446;-7596
4 - Bieten;90146;84797;-5349
5 - Granen;162007;160177;-1831
6 - Overige gewassen;130266;139234;8968
8 - Glastuinbouw;14017;12944;-1072
9 - Boomgaarden;3191;2898;-293
10 - Bloembollen;31995;30563;-1433
61 - Boomkwekerijen;20874;19432;-1441
62 - Fruitkwekerijen;25216;24656;-560
26 - Bebouwing in buitengebied;20181;24219;4038
27 - Overig grondgebruik in buitengebied;81015;96309;15294
45 - Natuurlijk beheerde agrarische graslanden;0;111078;111078
11 - Loofbos;108875;171659;62785
12 - Naaldbos;175433;141113;-34320
16 - Zoet water;369135;373844;4709
17 - Zout water;441789;1170824;729034
18 - Bebouwing in primair bebouwd gebied;81962;91932;9969
19 - Bebouwing in secundair bebouwd gebied;7867;9655;1787
24 - Kale grond in primair bebouwd gebied;1227;0;-1227
20 - Bos in primair bebouwd gebied;13867;13670;-197
22 - Bos in secundair bebouwd gebied;24052;29331;5280
23 - Gras in primair bebouwd gebied;270323;248501;-21823
28 - Gras in secundair bebouwd gebied;96243;99452;3209
25 - Hoofdwegen en spoorwegen;212393;0;-212393
251 - Hoofdinfrastructuur en spoorbaanlichamen;0;122643;122643
252 - Halfverharde wegen, infrastructuur langzaam verkeer en overige infrastructuur;0;63423;63423
253 - Smalle wegen;0;6407;6407
29 - Zonneparken;0;2021;2021
30 - Kwelders;11355;12109;754
31 - Open zand in kustgebied;10154;10413;259
32 - Duinen met een lage vegetatie (<1m);2042;2615;573
33 - Duinen met een hoge vegetatie (>1m);2947;2613;-334
34 - Duinheide;239;628;389
46 - Gras in kustgebied;19573;19050;-524
35 - Open stuifzand en/of rivierzand;1584;3239;1655
36 - Heide;12226;16914;4689
37 - Matig vergraste heide;16222;14481;-1741
38 - Sterk vergraste heide;9206;4025;-5181
39 - Hoogveen;6730;6966;236
321 - Struikvegetatie in hoogveengebied (laag);279;391;112
331 - Struikvegetatie in hoogveengebied (hoog);726;489;-237
40 - Bos in hoogveengebied;1685;2835;1150
41 - Overige moerasvegetatie;30766;29864;-902
