"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
"Perioden: 2017"
"";"";"Regio's"
"Onderwerp";"";"Nederland"
"Totale oppervlakte";"ha";"4154302"
"Verkeersterrein|Totaal verkeersterrein";"ha";"115108"
"Verkeersterrein|Spoorterrein";"ha";"8845"
"Verkeersterrein|Wegverkeersterrein";"ha";"103836"
"Verkeersterrein|Vliegveld";"ha";"2426"
"Bebouwd terrein|Totaal bebouwd terrein";"ha";"370140"
"Bebouwd terrein|Woonterrein";"ha";"241408"
"Bebouwd terrein|Terrein voor detailhandel en horeca";"ha";"12028"
"Bebouwd terrein|Terrein voor openbare voorzieningen";"ha";"12057"
"Bebouwd terrein|Terrein voor sociaal-culturele voorz.";"ha";"16463"
"Bebouwd terrein|Bedrijventerrein";"ha";"88184"
"Semi-bebouwd terrein|Totaal semi-bebouwd terrein";"ha";"39221"
"Semi-bebouwd terrein|Stortplaats";"ha";"1930"
"Semi-bebouwd terrein|Wrakkenopslagplaats";"ha";"429"
"Semi-bebouwd terrein|Begraafplaats";"ha";"4540"
"Semi-bebouwd terrein|Delfstofwinplaats";"ha";"3147"
"Semi-bebouwd terrein|Bouwterrein";"ha";"25046"
"Semi-bebouwd terrein|Semi-verhard overig terrein";"ha";"4129"
"Recreatieterrein|Totaal recreatieterrein";"ha";"108335"
"Recreatieterrein|Park en plantsoen";"ha";"32863"
"Recreatieterrein|Sportterrein";"ha";"36288"
"Recreatieterrein|Volkstuin";"ha";"3608"
"Recreatieterrein|Dagrecreatief terrein";"ha";"11526"
"Recreatieterrein|Verblijfsrecreatief terrein";"ha";"24051"
"Agrarisch terrein|Totaal agrarisch terrein";"ha";"2230445"
"Agrarisch terrein|Terrein voor glastuinbouw";"ha";"15766"
"Agrarisch terrein|Overig agrarisch terrein";"ha";"2214680"
"Bos en open natuurlijk terrein|Totaal  bos en open natuurlijk terrein";"ha";"501461"
"Bos en open natuurlijk terrein|Bos";"ha";"340646"
"Bos en open natuurlijk terrein|Open droog natuurlijk terrein";"ha";"93780"
"Bos en open natuurlijk terrein|Open nat natuurlijk terrein";"ha";"67035"
"Binnenwater|Totaal binnenwater";"ha";"374381"
"Binnenwater|IJsselmeer / Markermeer";"ha";"182893"
"Binnenwater|Afgesloten zeearm";"ha";"31982"
"Binnenwater|Rijn en Maas";"ha";"18178"
"Binnenwater|Randmeer";"ha";"15514"
"Binnenwater|Spaarbekken";"ha";"1240"
"Binnenwater|Recreatief binnenwater";"ha";"11104"
"Binnenwater|Binnenwater voor delfstofwinning";"ha";"2976"
"Binnenwater|Vloei- en/of slibveld";"ha";"484"
"Binnenwater|Overig binnenwater";"ha";"110008"
"Buitenwater|Totaal buitenwater";"ha";"415211"
"Buitenwater|Waddenzee, Eems, Dollard";"ha";"254432"
"Buitenwater|Oosterschelde";"ha";"34578"
"Buitenwater|Westerschelde";"ha";"29812"
"Buitenwater|Noordzee";"ha";"96389"
"Bron: CBS"
